Rank	Protein	Degree
919	Q8N726	5
920	Q96JC9	5
921	P78347	5
922	P30307	5
923	P31040	5
924	P60411	5
925	Q02750	5
926	P55060	5
927	Q9ULJ3	5
928	Q96GX1	5
929	Q99814	5
930	Q9UGM3	5
931	P16989	5
932	Q13188	5
933	Q9BRJ2	5
934	Q96CW5	5
935	Q9P286	5
936	Q99757	5
937	P38159	5
938	P61586	5
939	Q6ZU80	5
940	P27824	5
941	P13861	5
942	P52732	5
943	Q9UGY1	5
944	O95251	5
945	Q92870	5
946	Q8IYT4	5
947	P04049	5
948	Q9UER7	5
949	P04183	5
950	Q01130	5
951	O95429	5
952	Q96JN2	5
953	O94776	5
954	P61086	5
955	O95169	5
956	O15360	5
957	Q8N4C6	5
958	Q9NZL4	5
959	Q96PU5	5
960	P41250	5
961	P12980	5
962	Q9Y2L1	5
963	Q9NYF3	5
964	O15371	5
965	P09661	5
966	P61088	5
967	P50552	5
968	Q8IXW5	5
969	Q9BRT9	5
970	Q07960	5
971	Q13151	5
972	P30101	5
973	O95863	5
974	P61224	5
975	Q9Y371	5
976	Q86WV1	5
977	P16220	5
978	P17535	5
979	O14530	5
980	Q5SW79	5
981	Q9UMS4	5
982	Q49AN0	5
983	Q8TAP6	5
984	O60573	5
985	P04264	5
986	P50613	5
987	Q8IYA8	5
988	P0DP24	5
989	Q9BW61	5
990	P61421	5
991	Q15907	5
992	P13693	5
993	Q16629	5
994	Q9BT78	5
995	Q99549	5
996	O15400	5
997	Q14627	5
998	Q13107	5
999	Q99700	5
1000	Q14764	5
1001	Q9BQ66	5
1002	Q9UNH7	5
1003	P62068	5
1004	Q86YD3	5
1005	Q13283	5
1006	O75031	5
1007	P61289	5
1008	Q7L190	5
1009	Q9BYN8	5
1010	P12268	5
1011	Q16695	5
1012	Q00403	5
1013	Q9UNZ2	5
1014	Q8N6L0	5
1015	Q3LI72	5
1016	O00231	5
1017	P53396	5
1018	P62937	5
1019	Q96S59	5
1020	Q6P5W5	5
1021	P48643	5
1022	Q9NV70	5
1023	Q8WZ42	5
1024	Q66GS9	5
1025	Q14980	5
1026	P61326	5
1027	P61960	5
1028	P35580	5
1029	Q8WUK0	5
1030	Q04323	5
1031	Q9ULU4	5
1032	P62888	5
1033	P24864	5
1034	O00148	5
1035	Q86UW9	5
1036	P27540	5
1037	P20936	4
1038	Q99704	4
1039	Q15366	4
1040	Q13838	4
1041	Q96PM5	4
1042	P02766	4
1043	Q9UBX2	4
1044	Q96CS2	4
1045	Q96CS7	4
1046	Q92831	4
1047	P10828	4
1048	Q9P2B4	4
1049	Q9Y6E7	4
1050	Q9BZG8	4
1051	Q9Y5S9	4
1052	P42701	4
1053	P62314	4
1054	Q9UHX1	4
1055	Q99733	4
1056	Q8TDN6	4
1057	Q92526	4
1058	Q92597	4
1059	P21673	4
1060	P10916	4
1061	Q9NYZ3	4
1062	Q96KM6	4
1063	Q03989	4
1064	P51116	4
1065	O96008	4
1066	P35250	4
1067	P25398	4
1068	P24394	4
1069	Q8IYD8	4
1070	Q9BVK6	4
1071	O43151	4
1072	O14519	4
1073	Q969T4	4
1074	Q16526	4
1075	Q16512	4
1076	P29372	4
1077	Q13153	4
1078	P11387	4
1079	Q8N5R6	4
1080	P11362	4
1081	Q6UY14	4
1082	P35398	4
1083	Q96J42	4
1084	P55265	4
1085	Q9UJV3	4
1086	P54252	4
1087	O00541	4
1088	O75569	4
1089	Q02930	4
1090	O15162	4
1091	Q9UHA4	4
1092	Q09161	4
1093	Q8IZT6	4
1094	P33240	4
1095	Q9Y6K1	4
1096	P50406	4
1097	O95819	4
1098	Q96C00	4
1099	Q16181	4
1100	Q9Y6X2	4
1101	Q9Y2T1	4
1102	Q92974	4
1103	P15822	4
1104	Q8IWX8	4
1105	P08621	4
1106	Q9Y5B0	4
1107	P19388	4
1108	P19387	4
1109	P15735	4
1110	Q9UBT2	4
1111	P56537	4
1112	Q8IZH2	4
1113	O96006	4
1114	Q13561	4
1115	Q03135	4
1116	Q6Y7W6	4
1117	P49917	4
1118	P35658	4
1119	Q13936	4
1120	Q6P1M3	4
1121	P07996	4
1122	O15519	4
1123	P33778	4
1124	O75582	4
1125	P07339	4
1126	P61764	4
1127	P43034	4
1128	O00762	4
1129	Q9HCS7	4
1130	O43719	4
1131	Q96I25	4
1132	Q07820	4
1133	Q96NL6	4
1134	P78406	4
1135	Q92890	4
1136	Q86XR8	4
1137	Q15025	4
1138	Q99961	4
1139	Q99933	4
1140	Q13191	4
1141	Q8IZL8	4
1142	O75688	4
1143	Q9UBQ7	4
1144	Q8IVT2	4
1145	P08603	4
1146	P11388	4
1147	Q9UMR2	4
1148	Q96GE6	4
1149	Q9NVM4	4
1150	Q9UNL2	4
1151	Q9HCD5	4
1152	P32780	4
1153	Q9NQL9	4
1154	Q9NX70	4
1155	P55210	4
1156	Q9NRR4	4
1157	Q9NRR5	4
1158	Q92922	4
1159	O76021	4
1160	Q92616	4
1161	Q14457	4
1162	Q13428	4
1163	Q9Y3Q8	4
1164	Q13177	4
1165	Q68CP9	4
1166	Q9Y2R9	4
1167	Q9HC36	4
1168	Q13596	4
1169	O60637	4
1170	P78424	4
1171	O43741	4
1172	Q92930	4
1173	Q15173	4
1174	P07814	4
1175	Q9BZF1	4
1176	Q07812	4
1177	Q5U651	4
1178	Q9UK32	4
1179	P18206	4
1180	Q92499	4
1181	P10415	4
1182	P48730	4
1183	P20962	4
1184	Q14994	4
1185	Q9NQX4	4
1186	O60603	4
1187	P10826	4
1188	P35249	4
1189	Q99497	4
1190	O15234	4
1191	P62854	4
1192	P54257	4
1193	Q8N137	4
1194	P36402	4
1195	Q9Y4G8	4
1196	Q8NI36	4
1197	P30405	4
1198	Q15459	4
1199	Q8IY92	4
1200	O43639	4
1201	O43638	4
1202	Q03405	4
1203	O15165	4
1204	Q99436	4
1205	Q13444	4
1206	Q96LK0	4
1207	Q96AP7	4
1208	P14136	4
1209	O15160	4
1210	P46379	4
1211	Q14318	4
1212	P62256	4
1213	P08246	4
1214	P39019	4
1215	Q13247	4
1216	Q99627	4
1217	O43463	4
1218	P58107	4
1219	Q68CZ1	4
1220	Q96A65	4
1221	Q9Y5K5	4
1222	Q15436	4
1223	Q99871	4
1224	Q63ZY3	4
1225	P62857	4
1226	Q9C005	4
1227	P15976	4
1228	O43542	4
1229	Q96EP0	4
1230	Q9H7B2	4
1231	P38606	4
1232	Q13509	4
1233	Q8IYR6	4
1234	P42229	4
1235	Q9H0H5	4
1236	Q8WUM4	4
1237	P63173	4
1238	P02452	4
1239	P32302	4
1240	P35749	4
1241	Q8ND90	4
1242	Q9BZS1	4
1243	Q9BYQ3	4
1244	O75928	4
1245	Q10713	4
1246	Q9Y224	4
1247	Q96QD9	4
1248	P28289	4
1249	Q9UQM7	4
1250	P17987	4
1251	Q9BZD4	4
1252	Q969U7	4
1253	P61457	4
1254	Q9BRK5	4
1255	O00635	4
1256	P12814	4
1257	Q9Y2X0	4
1258	Q9Y2X3	4
1259	P42766	4
1260	P62191	4
1261	P60228	4
1262	Q05048	4
1263	Q92624	4
1264	P51617	4
1265	O95467	4
1266	P16070	4
1267	Q13489	4
1268	P31785	4
1269	P27708	4
1270	Q96DA0	4
1271	P33981	4
1272	Q9P2D0	4
1273	Q5H9R7	4
1274	Q9H8S9	4
1275	Q8NHY2	4
1276	P00403	4
1277	Q96HR8	4
1278	O43251	4
1279	P05026	4
1280	Q9Y376	4
1281	P52739	4
1282	P18077	4
1283	P62945	4
1284	P36578	4
1285	O43791	4
1286	P35638	4
1287	Q8N9I5	4
1288	Q16851	4
1289	Q9Y5B9	4
1290	A5YKK6	4
1291	Q9Y3M2	4
1292	Q07889	4
1293	Q92878	4
1294	P09493	4
1295	P06753	4
1296	Q9NVC6	4
1297	Q9Y6B2	4
1298	P10398	4
1299	P49336	4
1300	O75340	4
1301	Q7KZI7	4
1302	Q92900	4
1303	Q96D03	4
1304	Q8N1F7	4
1305	Q9UDY4	4
1306	O15027	4
1307	Q6WCQ1	4
1308	Q8N960	4
1309	P08648	4
1310	Q9NS91	4
1311	Q96B26	4
1312	Q96EQ0	4
1313	Q99665	4
1314	Q15831	4
1315	Q96EE3	4
1316	P42167	4
1317	Q6PEY2	4
1318	Q9GZN1	4
1319	Q14683	4
1320	O43829	4
1321	P37198	4
1322	Q8WUY9	4
1323	P03915	4
1324	Q13114	4
1325	Q9P289	4
1326	Q8TD31	4
1327	P61024	4
1328	Q12792	4
1329	P62491	4
1330	Q13416	4
1331	P01111	4
1332	Q15050	4
1333	O95602	4
1334	O75386	4
1335	P07195	4
1336	Q9ULV8	4
1337	Q9BUZ4	4
1338	Q96GS4	4
1339	P45984	4
1340	Q16584	4
1341	P49840	4
1342	Q9Y508	4
1343	P25791	4
1344	F7VJQ1	4
1345	P45973	4
1346	Q9NRM7	4
1347	Q12824	4
1348	Q6P597	4
1349	P56381	4
1350	P54652	4
1351	P62987	4
1352	O95168	4
1353	P04632	4
1354	O75419	4
1355	O95777	4
1356	Q9Y697	4
1357	Q8IY81	4
1358	Q86VR2	4
1359	P39656	4
1360	Q9Y277	4
1361	P62899	4
1362	P14923	4
1363	P01892	4
1364	Q9UBS4	4
1365	P55209	4
1366	Q14781	4
1367	P23508	4
1368	Q9UBF6	4
1369	Q12772	4
1370	Q99880	4
1371	P14859	4
1372	O94888	4
1373	O00233	4
1374	Q9UPY8	4
1375	Q5VYK3	4
1376	Q9HC52	4
1377	Q15397	4
1378	P62913	4
1379	P51693	4
1380	P78352	4
1381	P14868	4
1382	Q8TEP8	4
1383	O95273	4
1384	Q13627	4
1385	O60884	4
1386	Q99590	4
1387	Q2TAY7	4
1388	Q07065	4
1389	Q8TAT6	4
1390	P51608	4
1391	P04843	4
1392	P05023	4
1393	P53621	4
1394	P98170	4
1395	P60568	4
1396	Q13554	4
1397	Q04637	4
1398	P56945	4
1399	Q5U5Q3	4
1400	Q96EY1	4
1401	Q99959	4
1402	O15078	4
1403	P67775	4
1404	P62316	4
1405	P62333	4
1406	O43291	4
1407	Q96PU8	4
1408	Q13242	4
1409	Q9UIV1	4
1410	Q9P035	4
1411	Q96F86	4
1412	Q15038	4
1413	Q14192	4
1414	Q15393	4
1415	Q9NVP1	4
1416	P46063	4
1417	P09884	4
1418	Q15056	4
1419	Q6EMK4	4
1420	Q96HB5	4
1421	Q2TAC2	4
1422	O75489	4
1423	Q9Y4E8	4
1424	P18124	4
1425	P61218	4
1426	O43707	4
1427	Q14232	4
1428	Q9ULW3	4
1429	Q9BTE6	4
1430	Q01167	4
1431	Q15750	4
1432	Q9UM54	4
1433	Q9NYJ8	4
1434	Q02156	4
1435	A5D8V6	4
1436	Q14258	4
1437	Q5VTR2	4
1438	Q7Z3K3	4
1439	Q13415	4
1440	O00232	4
1441	O95994	4
1442	Q6P1N0	4
1443	Q92552	4
1444	Q14444	4
1445	P10636	4
1446	P55040	4
1447	Q02548	4
1448	Q6PD62	4
1449	Q9NWT6	4
1450	P62310	4
1451	O95983	4
1452	Q9UGJ1	4
